PathID	Pathway
PathID_1	PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Parasutterella.s__Parasutterella_excrementihominis
PathID_2	UNINTEGRATED|g__Methanobrevibacter.s__Methanobrevibacter_smithii
PathID_3	VALSYN-PWY: L-valine biosynthesis|g__Haemophilus.s__Haemophilus_parainfluenzae
PathID_4	UNINTEGRATED|g__Proteus.s__Proteus_penneri
PathID_5	PWY-7663: gondoate biosynthesis (anaerobic)|g__Bacteroides.s__Bacteroides_sp_3_2_5
PathID_6	HEMESYN2-PWY: heme biosynthesis II (anaerobic)|g__Shigella.s__Shigella_flexneri
PathID_7	PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Clostridium.s__Clostridium_perfringens
PathID_8	PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Enterobacter.s__Enterobacter_cloacae
PathID_9	PWY-3001: superpathway of L-isoleucine biosynthesis I|g__Enterococcus.s__Enterococcus_gallinarum
PathID_10	LACTOSECAT-PWY: lactose and galactose degradation I|unclassified
PathID_11	PWY-5686: UMP biosynthesis|g__Erysipelotrichaceae_noname.s__Erysipelotrichaceae_bacterium_6_1_45
PathID_12	PENTOSE-P-PWY: pentose phosphate pathway|g__Odoribacter.s__Odoribacter_splanchnicus
PathID_13	ARO-PWY: chorismate biosynthesis I|g__Shigella.s__Shigella_flexneri
PathID_14	SO4ASSIM-PWY: sulfate reduction I (assimilatory)|g__Klebsiella.s__Klebsiella_pneumoniae
PathID_15	PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Streptococcus.s__Streptococcus_sanguinis
PathID_16	BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Streptococcus.s__Streptococcus_tigurinus
PathID_17	PANTO-PWY: phosphopantothenate biosynthesis I|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_1_57FAA
PathID_18	HOMOSER-METSYN-PWY: L-methionine biosynthesis I|g__Citrobacter.s__Citrobacter_koseri
PathID_19	PWY-5097: L-lysine biosynthesis VI|g__Lactobacillus.s__Lactobacillus_crispatus
PathID_20	PWY-7196: superpathway of pyrimidine ribonucleosides salvage|unclassified
PathID_21	HOMOSER-METSYN-PWY: L-methionine biosynthesis I|g__Streptococcus.s__Streptococcus_sobrinus
PathID_22	ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Bacteroides.s__Bacteroides_ovatus
