TaxID	Taxon	Rank
TaxID_10649	Figwort mosaic virus	species
TaxID_71366	Staphylococcus phage PVL	species
TaxID_347534	Zobellella denitrificans	species
TaxID_163011	Pseudomonas lini	species
TaxID_29322	[Eubacterium] cellulosolvens	species
TaxID_1184387	Mesotoga prima	species
TaxID_1870819	Paenibacillus sp. BIHB4019	species
TaxID_2017484	Brachybacterium sp. VM2412	species
TaxID_80816	Haliangium ochraceum	species
TaxID_2023057	Orpheovirus IHUMI-LCC2	species
TaxID_399736	Agrococcus jejuensis	species
TaxID_864051	Burkholderiales bacterium JOSHI_001	species
TaxID_1920861	Klebsiella virus KP36	species
TaxID_189381	Bacillus marisflavi	species
TaxID_1511	Acetoanaerobium sticklandii	species
TaxID_1218494	Lactobacillus helsingborgensis	species
TaxID_1502	Clostridium perfringens	species
TaxID_2424	Fervidobacterium nodosum	species
TaxID_143223	Salegentibacter salegens	species
TaxID_1843368	Sphingobium sp. RAC03	species
TaxID_901	Desulfovibrio piger	species
TaxID_2500547	Apibacter sp. HY041	species
TaxID_1678129	Limnohabitans sp. 103DPR2	species
TaxID_1761794	Marinobacter sp. es.042	species
TaxID_1500686	Pseudomonas sp. Os17	species
TaxID_1714860	Aquimarina sp. BL5	species
TaxID_1348114	Pseudoalteromonas piratica	species
TaxID_1973475	Nostoc sp. NIES-2111	species
TaxID_55508	Janthinobacterium agaricidamnosum	species
TaxID_2496867	Flaviflexus sp. H23T48	species
TaxID_1403390	Staphylococcus phage phiRS7	species
TaxID_69223	Dickeya paradisiaca	species
TaxID_556288	Brachybacterium saurashtrense	species
TaxID_1261031	Nostoc sp. 'Peltigera membranacea cyanobiont' N6	species
TaxID_2203724	Oenococcus sicerae	species
TaxID_2321403	Chryseolinea sp. KIS68-18	species
TaxID_671990	Serratia sp. FGI94	species
TaxID_267128	Sphingopyxis granuli	species
TaxID_2126319	Variovorax sp. PMC12	species
TaxID_1767	Mycobacterium intracellulare	species
TaxID_192843	Rhodoferax ferrireducens	species
TaxID_85698	Achromobacter xylosoxidans	species
TaxID_2208	Methanosarcina barkeri	species
TaxID_234827	Candidatus Midichloria mitochondrii	species
TaxID_1680908	Salmon gill poxvirus	species
TaxID_1412875	Lactococcus phage phiL47	species
TaxID_161360	Planococcus antarcticus	species
TaxID_1862358	Corynebacterium choanis	species
TaxID_2493674	Mesorhizobium sp. M2A.F.Ca.ET.046.03.2.1	species
TaxID_1968541	Sulfitobacter sp. D7	species
TaxID_2057025	Spirosoma pollinicola	species
TaxID_1814128	Streptococcus halotolerans	species
TaxID_2268461	Microbacterium sp. ABRD_28	species
TaxID_1922553	Beihai picorna-like virus 124	species
TaxID_13773	Pyrobaculum aerophilum	species
TaxID_1486034	Lacinutrix venerupis	species
TaxID_644968	Desulfovibrio sp. FW1012B	species
TaxID_1267766	Altererythrobacter atlanticus	species
TaxID_150340	Vibrio antiquarius	species
TaxID_511	Alcaligenes faecalis	species
TaxID_536441	Chryseobacterium taklimakanense	species
TaxID_33932	Bacillus cohnii	species
