TaxID	CSM5MCXD	CSM5MCVL	CSM5FZ4M	CSM5MCXH	CSM5MCY4	CSM5MCUO	CSM5MCW6	CSM5MCWC	CSM5MCXT	CSM67UEW_TR	CSM5MCZB	CSM67U9H	CSM67UAK	CSM67UAU	CSM67UB9	CSM79HHO	CSM67UH7	CSM79HH4	CSM79HHW	CSM79HKX	CSM79HNE	CSM79HNO	CSM7KOP6	CSM7KORO	CSM7KOTO	CSM7KOUL	MSM5LLDI	MSM5LLGL	MSM5LLEP	MSM6J2J3	MSM6J2HD	MSM5LLHC	MSM6J2IE	MSM5LLF4	MSM6J2HN	MSM6J2JN	MSM6J2JZ	MSM6J2PO	MSM6J2Q1	MSM79H54	MSM79H5E	MSM79HF3	MSM79HDK	MSM79HDA	MSM79H7C	MSM79HCG	MSM79H8D	MSM9VZMA	MSM9VZFL	MSM9VZNR	MSM9VZMM	MSM9VZPH	MSM9VZL5	MSMA267V
TaxID_10649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxID_71366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxID_347534	0.001	0.001	0.0	0.001	0.001	0.001	0.001	0.0	0.001	0.002	0.001	0.003	0.0	0.002	0.001	0.003	0.001	0.001	0.0	0.001	0.001	0.0	0.002	0.001	0.001	0.001	0.001	0.0	0.001	0.002	0.0	0.006	0.001	0.004	0.001	0.0	0.005	0.003	0.002	0.011000000000000001	0.003	0.003	0.001	0.002	0.001	0.0	0.001	0.0	0.001	0.001	0.0	0.002	0.001	0.003
TaxID_163011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001
TaxID_29322	0.019	0.004	0.005	0.003	0.009000000000000001	0.023	0.008	0.28300000000000003	0.013	0.052	0.009000000000000001	0.024	0.011000000000000001	0.017	0.002	0.03	0.013999999999999999	0.008	0.008	0.015	0.201	0.005	0.006999999999999999	0.024	0.013	0.013999999999999999	0.004	0.017	0.013999999999999999	0.061	0.004	0.038	0.011000000000000001	0.1	0.011000000000000001	0.006	0.037	0.064	0.027999999999999997	0.023	0.04	0.027999999999999997	0.006999999999999999	0.032	0.017	0.009000000000000001	0.01	0.003	0.012	0.018000000000000002	0.004	0.038	0.027999999999999997	0.089
TaxID_1184387	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.001	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.001	0.002	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.002	0.001	0.001
TaxID_1870819	0.002	0.001	0.001	0.002	0.001	0.002	0.001	0.008	0.001	0.002	0.001	0.002	0.001	0.001	0.001	0.005	0.001	0.004	0.001	0.001	0.004	0.0	0.002	0.001	0.002	0.001	0.001	0.001	0.001	0.004	0.0	0.004	0.002	0.006999999999999999	0.001	0.001	0.008	0.004	0.004	0.004	0.003	0.004	0.002	0.003	0.001	0.001	0.001	0.0	0.001	0.001	0.001	0.003	0.003	0.006
TaxID_2017484	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.002	0.0	0.002	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.002	0.0	0.0	0.001	0.001	0.001	0.001	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.002
TaxID_80816	0.0	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.0	0.0	0.002	0.001	0.006	0.001	0.0	0.0	0.001	0.002	0.0	0.004	0.001	0.001	0.002	0.001	0.0	0.0	0.002	0.0	0.003	0.001	0.002	0.001	0.001	0.003	0.002	0.002	0.013	0.003	0.003	0.001	0.0	0.001	0.0	0.001	0.0	0.001	0.0	0.001	0.003	0.001	0.003
TaxID_2023057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
